"Tareas","Tipo","Título","Descripción / HU","Criterios de Aceptación","Est.","Prioridad","Depende de","Épica","Estado","Fase","Fecha de Inicio","Fecha Fin","Responsable"
"EN-001","EN","Configuración de la base de datos y ORM","Como desarrollador, quiero configurar PostgreSQL y un ORM (ej. SQLAlchemy para FastAPI) para tener una capa de persistencia de datos robusta y eficiente","Base de datos PostgreSQL creada y accesible. ORM configurado y modelos iniciales definidos.","3 SP","Critica","","EP-001","Listo","Sprint 1: MVP funcional y desarrollo inicial","","",""
"SP-001","SP","Investigación y selección de librería de autenticación","Como desarrollador, quiero evaluar opciones para implementar autenticación basada en JWT para garantizar la seguridad y eficiencia del sistema de login","Comparativa de librerías JWT documentada. Decisión sobre la librería a usar justificada.","2 SP","Alta","","EP-001","Listo","Sprint 1: MVP funcional y desarrollo inicial","","",""
"HU-001","HU","Registrarse e iniciar sesión","Como usuario, quiero registrarme e iniciar sesión de forma segura para acceder a las funcionalidades de la plataforma es para 4 usuarios","El usuario puede registrarse con email y contraseña. El usuario puede iniciar sesión con credenciales válidas. El sistema maneja errores de autenticación (ej. credenciales inválidas).","5 SP","Critica","EN-001, SP-001","EP-001","Listo","Sprint 1: MVP funcional y desarrollo inicial","","",""
"HU-004","HU","Ver mi historial de puntos","Como vecino, quiero ver un resumen de mis puntos acumulados y entregas realizadas para llevar un seguimiento de mi contribución al reciclaje","El usuario puede acceder a una sección con su historial de puntos. El historial muestra la fecha, tipo de residuo y puntos obtenidos por entrega.","3 SP","Media","HU-003","EP-002","Listo","Sprint 1: MVP funcional y desarrollo inicial","","",""
"HU-002","HU","Ver mi perfil básico","Como usuario, quiero ver mi información de perfil básica para tener un resumen de mis datos en la plataforma","El usuario puede ver su nombre y email en una sección de perfil.","2 SP","Alta","HU-001","EP-001","Listo","Sprint 2: Integración, desarrollo avanzado y cierre","","",""
"TA-001","TA","Diseño e implementación de esquema de DB para residuos y puntos","Como desarrollador, quiero crear las tablas y relaciones necesarias para gestionar residuos y puntos para soportar la funcionalidad de registro de entregas y seguimiento de puntos","Esquema de base de datos para residuos y puntos diseñado y aprobado. Migraciones de base de datos aplicadas correctamente. Modelos ORM para residuos y puntos creados.","5 SP","Alta","EN-001","EP-002","Listo","Sprint 2: Integración, desarrollo avanzado y cierre","","",""
"HU-003","HU","Registrar la entrega de mis residuos","Como vecino, quiero registrar la entrega de mis residuos reciclables para acumular puntos de conciencia ecológica por mi contribución","El usuario puede seleccionar el tipo y la cantidad de residuo entregado. Los puntos se asignan correctamente al usuario tras el registro.","5 SP","Critica","TA-001","EP-002","En revisión","Sprint 2: Integración, desarrollo avanzado y cierre","","",""
"SP-002","SP","Investigación e integración de API de mapas","Como desarrollador, quiero evaluar y seleccionar una API de mapas (ej. Mapbox, Google Maps) para mostrar centros de acopio en un mapa interactivo","Comparativa de APIs de mapas documentada. Integración básica de la API seleccionada probada.","3 SP","Alta","","EP-003","Por hacer","Sprint 1: MVP funcional y desarrollo inicial","","",""
"HU-005","HU","Visualizar centros de acopio en un mapa","Como vecino, quiero ver los centros de acopio cercanos en un mapa interactivo para saber dónde llevar mis residuos reciclables","El mapa muestra la ubicación de los centros de acopio con marcadores. El usuario puede interactuar con el mapa (zoom, desplazamiento).","5 SP","Critica","SP-002","EP-003","Por hacer","Sprint 1: MVP funcional y desarrollo inicial","","",""
"EN-002","EN","Configuración de entorno para generación de códigos QR","Como desarrollador, quiero configurar las herramientas necesarias para generar códigos QR para permitir a los usuarios generar códigos de validación de entrega","Librería de generación de QR instalada y configurada. Servicio de generación de QR funcional en entorno de desarrollo.","2 SP","Alta","","EP-003","Por hacer","Sprint 1: MVP funcional y desarrollo inicial","","",""
"HU-006","HU","Generar un código QR para mi entrega","Como vecino, quiero generar un código QR único para validar mi entrega de residuos para facilitar el registro de mi contribución en el centro de acopio","El sistema genera un código QR único asociado a la entrega del usuario. El QR es visible en la aplicación para ser escaneado.","3 SP","Alta","EN-002","EP-003","Por hacer","Sprint 1: MVP funcional y desarrollo inicial","","",""
"TA-002","TA","Desarrollo de la interfaz de usuario para el panel de administración (solo lectura)","Como desarrollador, quiero crear una interfaz básica para que los administradores puedan visualizar datos para permitir la supervisión inicial de la plataforma por parte de la municipalidad","Rutas de administración protegidas por autenticación de administrador. Componentes básicos de UI de administración implementados.","5 SP","Alta","HU-002","EP-004","Por hacer","Sprint 1: MVP funcional y desarrollo inicial","","",""
"HU-007","HU","Ver la lista de usuarios y sus puntos","Como administrador municipal, quiero ver un listado de todos los usuarios y sus puntos acumulados para supervisar la participación de los vecinos en el programa de reciclaje","El administrador puede acceder a una tabla con usuarios y sus puntos. La tabla muestra información relevante de cada usuario (ej. nombre, email, puntos).","3 SP","Alta","TA-002","EP-004","Por hacer","Sprint 1: MVP funcional y desarrollo inicial","","",""
"HU-008","HU","Enviar una alerta general a los vecinos","Como administrador municipal, quiero enviar mensajes o alertas a todos los usuarios de la plataforma para comunicar información importante sobre rutas de recojo o eventos","El administrador puede redactar y enviar un mensaje a todos los usuarios. Los usuarios reciben la alerta en la aplicación (ej. notificación in-app).","4 SP","Alta","TA-002","EP-004","Por hacer","Sprint 1: MVP funcional y desarrollo inicial","","",""
"DO-001","DO","Guía de uso básico para administradores","Como administrador municipal, quiero tener un documento que explique cómo usar el panel de administración para poder operar la plataforma de manera efectiva","El documento describe cómo acceder al panel y sus funcionalidades básicas. La guía es clara y fácil de entender.","1 SP","Media","HU-008","EP-004","Por hacer","Sprint 1: MVP funcional y desarrollo inicial","","",""
